LSOA	value
E01000428	1
E01000458	0
E01000459	0
E01000381	0
E01000383	1
E01000385	1
E01000386	1
E01000398	0
E01000399	0
E01000400	0
E01032566	1
E01009271	0
E01033557	0
E01033615	0
E01033620	0
E01033622	0
E01015285	0
E01016207	0
E01010808	0
E01000587	0
E01000589	0
E01000590	0
E01000592	0
E01000593	0
E01000594	0
E01000513	0
E01000514	0
E01000516	0
E01000520	0
E01000588	1
E01000515	0
E01000517	1
E01000543	0
E01000591	2
E01033463	0
E01000536	1
E01000538	0
E01000539	0
E01000540	0
E01000541	0
E01000518	0
E01000519	0
E01000623	0
E01000624	0
E01000629	0
E01000480	0
E01000484	0
E01000485	0
E01000486	0
E01000487	0
E01000572	0
E01000573	0
E01000574	0
E01000575	0
E01000577	1
E01000562	0
E01000563	0
E01000566	0
E01000568	1
E01000569	0
E01000479	0
E01000481	0
E01000482	2
E01000483	0
E01000625	1
E01000498	0
E01000622	0
E01000626	0
E01033464	0
E01000497	1
E01000499	1
E01000501	0
E01000502	0
E01000503	1
E01000570	0
E01000571	0
E01000576	0
E01000578	0
E01000564	0
E01000565	0
E01000607	0
E01000608	2
E01000613	0
E01000506	1
E01000509	0
E01000510	1
E01000511	0
E01000627	2
E01000628	1
E01000553	2
E01000554	0
E01000555	0
E01000556	2
E01000557	0
E01000558	1
E01000567	0
E01000606	0
E01000609	0
E01000611	0
E01000615	2
E01000617	0
E01000618	0
E01000619	0
E01033424	1
E01033457	2
E01000504	0
E01000505	0
E01000507	0
E01000512	1
E01000559	0
E01000610	0
E01000612	0
E01000631	0
E01000633	0
E01000634	0
E01000616	1
E01000620	0
E01000621	0
E01000635	2
E01000636	1
E01000596	1
E01000601	2
E01000602	0
E01000603	0
E01000604	0
E01000605	0
E01000488	0
E01000637	0
E01000639	0
E01000642	2
E01000644	0
E01000490	1
E01000494	0
E01000495	1
E01000560	1
E01000561	0
E01000638	1
E01000640	2
E01000641	1
E01000643	2
E01000508	2
E01000521	1
E01000522	0
E01000526	1
E01000527	1
E01000528	0
E01000471	0
E01000474	0
E01000476	0
E01000477	1
E01000630	1
E01000595	1
E01000599	0
E01000600	2
E01033456	1
E01000545	2
E01000546	0
E01000547	1
E01000548	2
E01000549	0
E01000472	1
E01000473	1
E01000475	1
E01000478	1
E01000632	2
E01000489	0
E01000491	1
E01000492	0
E01000493	1
E01000581	0
E01000523	1
E01000524	2
E01000525	0
E01000533	1
E01000535	1
E01033455	1
E01033485	2
E01000579	0
E01000580	2
E01000582	1
E01000583	1
E01000586	2
E01000530	0
E01000531	0
E01000532	1
E01000534	0
E01000584	0
E01000585	0
E01000544	0
E01000550	1
E01000551	1
E01000552	1
E01021468	0
E01033064	0
E01000779	1
E01000780	0
E01000781	0
E01000782	2
E01000783	1
E01000785	1
E01000689	0
E01000690	0
E01000691	0
E01000692	2
E01000784	0
E01000799	2
E01000802	0
E01000803	0
E01000804	0
E01000805	0
E01000740	2
E01000741	1
E01000742	1
E01000745	1
E01000746	0
E01000709	0
E01000710	0
E01000711	0
E01000714	2
E01000718	1
E01000645	0
E01000649	1
E01000694	0
E01000695	0
E01000696	0
E01000697	0
E01000674	1
E01000676	2
E01000820	0
E01000822	0
E01000823	0
E01000824	0
E01000825	0
E01000743	1
E01000744	0
E01000796	0
E01000798	1
E01000800	1
E01000806	1
E01000693	1
E01000698	0
E01000736	0
E01000737	1
E01000672	1
E01000673	0
E01000716	0
E01000717	0
E01000828	0
E01000712	1
E01000713	0
E01000715	0
E01000770	0
E01000772	0
E01000700	0
E01000702	0
E01000703	0
E01000706	0
E01000797	1
E01000729	1
E01000730	1
E01000735	0
E01000738	1
E01000739	0
E01000699	0
E01000701	0
E01000704	0
E01000705	0
E01000801	0
E01000646	1
E01000647	0
E01000648	0
E01000653	0
E01000678	0
E01000670	0
E01000675	2
E01000677	2
E01000762	0
E01000829	0
E01000719	2
E01000720	1
E01000721	0
E01000724	0
E01000728	1
E01000651	0
E01000668	1
E01000669	0
E01000671	0
E01000679	0
E01000826	0
E01000827	0
E01000830	0
E01000833	0
E01000650	0
E01000652	0
E01000807	1
E01000809	0
E01000722	1
E01000725	1
E01000731	0
E01000732	0
E01000733	1
E01000769	0
E01000773	0
E01000775	1
E01000777	0
E01000778	0
E01000808	0
E01000810	0
E01000811	0
E01000813	0
E01000815	0
E01000661	1
E01000662	0
E01000663	0
E01000664	0
E01000763	0
E01000764	0
E01000766	0
E01000767	0
E01000727	1
E01000734	0
E01000790	2
E01000812	0
E01000814	0
E01000723	0
E01000726	0
E01000787	0
E01000788	0
E01000791	0
E01000832	0
E01000835	1
E01000836	0
E01000837	0
E01000838	0
E01000839	0
E01000840	0
E01000841	0
E01000753	0
E01000754	0
E01000755	0
E01000757	0
E01000758	0
E01000786	0
E01000789	1
E01000792	0
E01000793	0
E01000795	0
E01000665	0
E01000666	0
E01000667	0
E01000756	1
E01000759	0
E01000760	0
E01000761	0
E01000765	0
E01000768	0
E01000681	0
E01000682	0
E01000683	0
E01000684	0
E01000794	0
E01000749	0
E01000750	0
E01000751	1
E01000752	0
E01000680	0
E01000685	0
E01000686	0
E01000687	0
E01000688	0
E01000654	0
E01000655	1
E01000656	0
E01000657	1
E01000659	0
E01000816	0
E01000818	0
E01000819	1
E01032562	0
E01032563	0
E01000707	0
E01000708	0
E01000771	0
E01000774	0
E01032568	1
E01000658	0
E01000747	1
E01000748	0
E01032570	1
E01023308	0
E01023310	0
E01023301	0
E01023336	0
E01000907	0
E01000908	0
E01000909	0
E01000912	1
E01000913	1
E01000893	0
E01000894	0
E01000895	0
E01000896	0
E01000899	0
E01000910	0
E01000911	0
E01000921	1
E01000923	0
E01000928	1
E01000878	0
E01000879	0
E01000880	0
E01000884	0
E01000885	0
E01000871	1
E01000872	1
E01000873	0
E01000874	0
E01000877	1
E01000886	0
E01000887	1
E01000888	1
E01000892	0
E01000903	0
E01000889	0
E01000890	1
E01000891	1
E01000901	1
E01000922	2
E01000927	1
E01000881	0
E01000882	0
E01000883	1
E01000897	0
E01000898	1
E01000866	1
E01000870	0
E01000924	0
E01000925	0
E01000926	0
E01000969	0
E01000970	0
E01000971	0
E01000972	2
E01000973	2
E01000842	0
E01000844	0
E01000848	1
E01000849	0
E01000900	1
E01000902	0
E01000904	1
E01000905	1
E01000906	0
E01000875	1
E01000876	1
E01000931	1
E01000932	0
E01000974	0
E01000843	0
E01000845	0
E01000846	0
E01000847	0
E01000864	1
E01000865	1
E01000867	2
E01000868	0
E01000869	1
E01000962	0
E01000964	0
E01000965	1
E01000968	0
E01000960	0
E01000961	1
E01000963	1
E01000967	0
E01000857	0
E01000858	2
E01000859	1
E01000860	0
E01000862	1
E01000856	2
E01000861	1
E01000957	0
E01000958	1
E01000959	0
E01000929	0
E01000930	2
E01000933	2
E01000934	0
E01000935	1
E01000863	2
E01000946	1
E01000947	2
E01000948	1
E01000952	1
E01000953	1
E01000954	0
E01000955	2
E01000956	2
E01000944	0
E01000945	2
E01000949	0
E01000950	1
E01000951	0
E01000936	0
E01000938	2
E01000939	2
E01000940	0
E01000853	1
E01000937	0
E01000941	0
E01000942	1
E01000943	0
E01000850	2
E01000851	2
E01000852	2
E01000854	2
E01000915	0
E01000916	2
E01000917	0
E01000920	1
E01000855	2
E01000914	2
E01000918	2
E01000919	2
E01021516	0
E01017593	0
E01021613	0
E01028468	0
E01017792	0
E01017755	0
E01000001	0
E01000005	0
E01032739	0
E01032740	0
E01031599	0
E01001137	1
E01001138	1
E01001156	0
E01001162	0
E01001164	1
E01001084	0
E01001157	0
E01001159	0
E01001160	1
E01001163	0
E01001083	0
E01001086	0
E01001087	2
E01001161	0
E01001085	1
E01001088	0
E01001089	1
E01001090	1
E01001091	0
E01001147	0
E01001148	0
E01001151	1
E01001152	1
E01001158	0
E01001146	0
E01001149	0
E01001150	0
E01001153	0
E01001154	1
E01001136	1
E01001139	0
E01001140	0
E01001142	1
E01001144	1
E01001141	0
E01001143	1
E01001145	1
E01001191	2
E01001192	2
E01000994	0
E01000995	0
E01000996	0
E01000997	0
E01000999	0
E01001002	0
E01000998	1
E01001000	1
E01001003	0
E01001111	1
E01001155	2
E01001174	0
E01001175	0
E01001176	1
E01001182	1
E01001183	1
E01001184	0
E01001001	0
E01001109	1
E01001112	0
E01001113	0
E01001114	1
E01001116	1
E01000992	1
E01001185	0
E01001186	1
E01001188	1
E01001193	0
E01001004	1
E01001115	0
E01001117	1
E01001178	1
E01001181	1
E01001006	2
E01001007	0
E01001177	1
E01001179	0
E01001180	1
E01000980	0
E01000981	0
E01000982	1
E01000983	0
E01001187	1
E01000989	1
E01000991	0
E01001131	0
E01001132	0
E01001134	0
E01001005	2
E01001008	0
E01001009	0
E01001010	2
E01001011	1
E01001012	1
E01001013	2
E01001048	2
E01001110	1
E01001118	2
E01000985	0
E01000986	0
E01000987	0
E01000993	0
E01000975	1
E01000976	2
E01000977	0
E01000978	0
E01000979	0
E01000984	0
E01001044	0
E01001046	0
E01001049	0
E01001050	0
E01001014	2
E01001042	2
E01001165	1
E01001166	0
E01001168	1
E01001127	0
E01001128	0
E01001130	0
E01001135	0
E01001062	0
E01001063	0
E01001064	1
E01001129	0
E01001133	0
E01001035	0
E01001043	2
E01001045	2
E01001047	0
E01001170	0
E01001167	2
E01001169	1
E01001171	1
E01001172	2
E01001173	1
E01001036	0
E01001037	0
E01001038	0
E01001039	0
E01001040	1
E01001051	0
E01001052	0
E01001054	0
E01001056	1
E01001057	0
E01001033	1
E01001034	0
E01001041	0
E01001095	0
E01001100	0
E01001053	0
E01001055	0
E01001077	0
E01001078	1
E01001082	1
E01001120	0
E01001122	0
E01001123	0
E01001124	0
E01001125	1
E01001058	0
E01001059	0
E01001060	1
E01001061	0
E01001065	1
E01001066	0
E01001119	0
E01001126	0
E01001032	0
E01001101	0
E01001102	0
E01001107	0
E01001108	0
E01001076	2
E01001079	0
E01001080	0
E01001081	0
E01001073	0
E01001092	0
E01001093	1
E01001096	0
E01001097	2
E01001098	0
E01001028	0
E01001029	0
E01001030	0
E01001031	0
E01001094	0
E01001103	0
E01001105	0
E01001106	0
E01001121	0
E01001069	0
E01001070	0
E01001075	0
E01001099	0
E01001015	0
E01001016	0
E01001023	2
E01001067	0
E01001074	1
E01001068	0
E01001071	0
E01001104	0
E01001017	0
E01001024	0
E01001025	0
E01001026	0
E01001027	0
E01001018	0
E01001020	0
E01001021	0
E01001022	0
E01000990	0
E01001189	0
E01001190	0
E01001194	0
E01032569	1
E01023373	0
E01001269	1
E01001271	1
E01001309	1
E01001310	0
E01001311	1
E01001307	0
E01001308	0
E01001312	1
E01001313	0
E01001314	0
E01001315	0
E01001316	1
E01001317	0
E01001318	0
E01001320	1
E01001321	0
E01001270	1
E01001319	0
E01001322	1
